code	profile_spec_name	lvl	link	FormEd	Plan_Budg	Plan_Comm	Years	Months
22.03.02	металлургия	бакалавриат	https://abit.magtu.ru/22-03-02-metallurgiya	очная	100	25	none	none
22.04.02	металлургия	магистратура	https://abit.magtu.ru/22-04-02-metallurgiya	заочная	0	15	none	none
22.04.02	металлургия	магистратура	https://abit.magtu.ru/22-04-02-metallurgiya	очная	59	35	none	none
23.04.01	технология транспортных процессов	магистратура	https://abit.magtu.ru/23-04-01-tehnologiya-transportnyh-processov	очная	12	10	none	none
23.05.04	эксплуатация железных дорог	специалитет	https://abit.magtu.ru/23-05-04-ekspluataciya-zheleznyh-dorog	заочная	0	25	none	none
23.05.04	эксплуатация железных дорог	специалитет	https://abit.magtu.ru/23-05-04-ekspluataciya-zheleznyh-dorog	очная	25	10	none	none
27.03.01	стандартизация и метрология	бакалавриат	https://abit.magtu.ru/27-03-01-standartizaciya-i-metrologiya	очная	23	10	none	none
27.03.04	управление в технических системах	бакалавриат	https://abit.magtu.ru/27-03-04-upravlenie-v-tehnicheskih-sistemah	заочная	0	40	none	none
27.03.04	управление в технических системах	бакалавриат	https://abit.magtu.ru/27-03-04-upravlenie-v-tehnicheskih-sistemah	очная	23	15	none	none
27.04.01	стандартизация и метрология	магистратура	https://abit.magtu.ru/27-04-01-standartizaciya-i-metrologiya	очная	11	5	none	none
27.04.04	управление в технических системах	магистратура	https://abit.magtu.ru/27-04-04-upravlenie-v-tehnicheskih-sistemah	очная	10	5	none	none
29.03.03	технология полиграфического и упаковочного производства	бакалавриат	https://abit.magtu.ru/29-03-03-tehnologiya-poligraficheskogo-i-upakovochnogo-proizvodstva	очная	25	10	none	none
29.04.04	технология художественной обработки материалов	магистратура	https://abit.magtu.ru/29-04-04-tehnologiya-hudozhestvennoy-obrabotki-materialov	очная	15	5	none	none
37.03.01	психология	бакалавриат	https://abit.magtu.ru/37-03-01-psihologiya	очно-заочная	0	25	none	none
38.03.01	экономика	бакалавриат	https://abit.magtu.ru/38-03-01-ekonomika	очная	0	29	none	none
