profile	vo_spec	spo_spec
технологический профиль	07.03.01 архитектура	24.02.04 радиотехнические комплексы и системы управления космических летательных аппаратов
технологический профиль	07.03.01 архитектура	25.02.01 техническая эксплуатация летательных аппаратов и двигателей
технологический профиль	07.03.01 архитектура	25.02.02 обслуживание летательных аппаратов горюче-смазочными материалами
технологический профиль	07.03.01 архитектура	25.02.03 техническая эксплуатация электрифицированных и пилотажно-навигационных комплексов
технологический профиль	07.03.01 архитектура	25.02.04 летная эксплуатация летательных аппаратов
технологический профиль	07.03.01 архитектура	25.02.05 управление движением воздушного транспорта
технологический профиль	07.03.01 архитектура	25.02.06 производство и обслуживание авиационной техники
технологический профиль	07.03.01 архитектура	25.02.07 техническое обслуживание авиационных двигателей
технологический профиль	07.03.01 архитектура	25.02.08 эксплуатация беспилотных авиационных систем
технологический профиль	07.03.01 архитектура	25.02.09 организация воздушных перевозок и авиационных работ
технологический профиль	07.03.01 архитектура	25.02.10 транспортная безопасность воздушного транспорта
технологический профиль	07.03.01 архитектура	25.02.11 летная эксплуатация беспилотных авиационных систем
технологический профиль	07.03.01 архитектура	26.02.01 эксплуатация внутренних водных путей
технологический профиль	07.03.01 архитектура	26.02.02 судостроение
технологический профиль	07.03.01 архитектура	26.02.03 судовождение
технологический профиль	07.03.01 архитектура	26.02.04 монтаж и техническое обслуживание судовых машин и механизмов
технологический профиль	07.03.01 архитектура	26.02.05 эксплуатация судовых энергетических установок
технологический профиль	07.03.01 архитектура	26.02.06 эксплуатация судового электрооборудования и средств автоматики
технологический профиль	07.03.01 архитектура	27.02.04 автоматические системы управления
технологический профиль	07.03.01 архитектура	27.02.06 метрологический контроль средств измерений
технологический профиль	07.03.01 архитектура	27.02.07 управление качеством продукции, процессов и услуг (по отраслям)
технологический профиль	07.03.01 архитектура	29.02.05 технология текстильных изделий (по видам)
технологический профиль	07.03.01 архитектура	29.02.10 конструирование, моделирование и технология изготовления изделий легкой промышленности (по видам)
технологический профиль	07.03.01 архитектура	29.02.11 полиграфическое производство
технологический профиль	07.03.01 архитектура	35.02.02 технология лесозаготовок
технологический профиль	07.03.01 архитектура	35.02.08 электротехнические системы в агропромышленном комплексе (апк)
технологический профиль	07.03.03 дизайн архитектурной среды	05.02.01 картография
технологический профиль	07.03.03 дизайн архитектурной среды	05.02.02 гидрология
технологический профиль	07.03.03 дизайн архитектурной среды	05.02.03 метеорология
технологический профиль	07.03.03 дизайн архитектурной среды	07.02.01 архитектура
технологический профиль	07.03.03 дизайн архитектурной среды	08.02.01 строительство и эксплуатация зданий и сооружений
технологический профиль	07.03.03 дизайн архитектурной среды	08.02.02 строительство и эксплуатация инженерных сооружений
технологический профиль	07.03.03 дизайн архитектурной среды	08.02.03 производство неметаллических строительных изделий и конструкций
технологический профиль	07.03.03 дизайн архитектурной среды	08.02.04 водоснабжение и водоотведение
технологический профиль	07.03.03 дизайн архитектурной среды	08.02.08 монтаж и эксплуатация оборудования и систем газоснабжения
технологический профиль	07.03.03 дизайн архитектурной среды	08.02.09 монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий
технологический профиль	07.03.03 дизайн архитектурной среды	08.02.12 строительство и эксплуатация автомобильных дорог, аэродромов и городских путей сообщения
технологический профиль	07.03.03 дизайн архитектурной среды	08.02.13 монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции
технологический профиль	07.03.03 дизайн архитектурной среды	08.02.14 эксплуатация и обслуживание многоквартирного дома
технологический профиль	07.03.03 дизайн архитектурной среды	08.02.15 информационное моделирование в строительстве
технологический профиль	07.03.03 дизайн архитектурной среды	09.02.01 компьютерные системы и комплексы
технологический профиль	07.03.03 дизайн архитектурной среды	09.02.06 сетевое и системное администрирование
технологический профиль	07.03.03 дизайн архитектурной среды	09.02.07 информационные системы и программирование
технологический профиль	07.03.03 дизайн архитектурной среды	09.02.08 интеллектуальные интегрированные системы
технологический профиль	07.03.03 дизайн архитектурной среды	09.02.09 веб-разработка
технологический профиль	07.03.03 дизайн архитектурной среды	09.02.10 разработка компьютерных игр, дополненной и виртуальной реальности
технологический профиль	07.03.03 дизайн архитектурной среды	09.02.11 разработка и управление программным обеспечением
технологический профиль	07.03.03 дизайн архитектурной среды	09.02.12 техническая эксплуатация и сопровождение информационных систем
технологический профиль	07.03.03 дизайн архитектурной среды	09.02.13 интеграция решений с применением технологий искусственного интеллекта
технологический профиль	07.03.03 дизайн архитектурной среды	10.02.04 обеспечение информационной безопасности телекоммуникационных систем
технологический профиль	07.03.03 дизайн архитектурной среды	10.02.05 обеспечение информационной безопасности автоматизированных систем
технологический профиль	07.03.03 дизайн архитектурной среды	11.02.03 эксплуатация оборудования радиосвязи и электрорадионавигации судов
технологический профиль	07.03.03 дизайн архитектурной среды	11.02.06 техническая эксплуатация транспортного радиоэлектронного оборудования (по видам транспорта)
технологический профиль	07.03.03 дизайн архитектурной среды	11.02.07 радиотехнические информационные системы
технологический профиль	07.03.03 дизайн архитектурной среды	11.02.13 твердотельная электроника
технологический профиль	07.03.03 дизайн архитектурной среды	11.02.15 инфокоммуникационные сети и системы связи
технологический профиль	07.03.03 дизайн архитектурной среды	11.02.16 монтаж, техническое обслуживание и ремонт электронных приборов и устройств
технологический профиль	07.03.03 дизайн архитектурной среды	11.02.17 разработка электронных устройств и систем
технологический профиль	07.03.03 дизайн архитектурной среды	11.02.18 системы радиосвязи, мобильной связи и телерадиовещания
технологический профиль	07.03.03 дизайн архитектурной среды	11.02.19 квантовые коммуникации
технологический профиль	07.03.03 дизайн архитектурной среды	12.02.01 авиационные приборы и комплексы
технологический профиль	07.03.03 дизайн архитектурной среды	12.02.03 радиоэлектронные приборы и устройства
технологический профиль	07.03.03 дизайн архитектурной среды	12.02.04 электромеханические приборные устройства
технологический профиль	07.03.03 дизайн архитектурной среды	12.02.08 протезно-ортопедическая и реабилитационная техника
технологический профиль	07.03.03 дизайн архитектурной среды	12.02.09 производство и эксплуатация оптических и оптико-электронных приборов и систем
технологический профиль	07.03.03 дизайн архитектурной среды	12.02.10 монтаж, техническое обслуживание и ремонт биотехнических и медицинских аппаратов и систем
технологический профиль	07.03.03 дизайн архитектурной среды	13.02.01 тепловые электрические станции
технологический профиль	07.03.03 дизайн архитектурной среды	13.02.02 теплоснабжение и теплотехническое оборудование
технологический профиль	07.03.03 дизайн архитектурной среды	13.02.04 гидроэлектроэнергетические установки
технологический профиль	07.03.03 дизайн архитектурной среды	13.02.05 технология воды, топлива и смазочных материалов на электрических станциях
технологический профиль	07.03.03 дизайн архитектурной среды	13.02.07 электроснабжение
технологический профиль	07.03.03 дизайн архитектурной среды	13.02.08 электроизоляционная, кабельная и конденсаторная техника
технологический профиль	07.03.03 дизайн архитектурной среды	13.02.09 монтаж и эксплуатация линий электропередачи
технологический профиль	07.03.03 дизайн архитектурной среды	13.02.12 электрические станции, сети, их релейная защита и автоматизация
технологический профиль	07.03.03 дизайн архитектурной среды	13.02.13 эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям
технологический профиль	07.03.03 дизайн архитектурной среды	13.02.13 эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям)
технологический профиль	07.03.03 дизайн архитектурной среды	14.02.01 атомные электрические станции и установки
технологический профиль	07.03.03 дизайн архитектурной среды	14.02.02 радиационная безопасность
технологический профиль	07.03.03 дизайн архитектурной среды	15.02.03 монтаж, техническое обслуживание и ремонт гидравлического и пневматического оборудования (по отраслям)
технологический профиль	07.03.03 дизайн архитектурной среды	15.02.04 специальные машины и устройства
технологический профиль	07.03.03 дизайн архитектурной среды	15.02.06 монтаж, техническая эксплуатация и ремонт холодильно-компрессорных и теплонасосных машин и установок (по отраслям)
технологический профиль	07.03.03 дизайн архитектурной среды	15.02.09 аддитивные технологии
технологический профиль	07.03.03 дизайн архитектурной среды	15.02.10 мехатроника и робототехника (по отраслям)
технологический профиль	07.03.03 дизайн архитектурной среды	15.02.16 технология машиностроения
технологический профиль	07.03.03 дизайн архитектурной среды	15.02.17 монтаж, техническое обслуживание, эксплуатация и ремонт промышленного оборудования (по отраслям)
технологический профиль	07.03.03 дизайн архитектурной среды	15.02.18 техническая эксплуатация и обслуживание роботизированного производства (по отраслям)
технологический профиль	07.03.03 дизайн архитектурной среды	15.02.19 сварочное производство
технологический профиль	07.03.03 дизайн архитектурной среды	20.00.00 техносферная безопасность и природообустройство
технологический профиль	07.03.03 дизайн архитектурной среды	21.02.01 разработка и эксплуатация нефтяных и газовых месторождений
технологический профиль	07.03.03 дизайн архитектурной среды	21.02.02 бурение нефтяных и газовых скважин
технологический профиль	07.03.03 дизайн архитектурной среды	21.02.03 сооружение и эксплуатация газонефтепроводов и газонефтехранилищ
технологический профиль	07.03.03 дизайн архитектурной среды	21.02.09 гидрогеология и инженерная геология
технологический профиль	07.03.03 дизайн архитектурной среды	21.02.10 геология и разведка нефтяных и газовых месторождений
технологический профиль	07.03.03 дизайн архитектурной среды	21.02.11 геофизические методы поисков и разведки месторождений полезных ископаемых
технологический профиль	07.03.03 дизайн архитектурной среды	21.02.12 технология и техника разведки месторождений полезных ископаемых
технологический профиль	07.03.03 дизайн архитектурной среды	21.02.13 геологическая съемка, поиски и разведка месторождений полезных ископаемых
технологический профиль	07.03.03 дизайн архитектурной среды	21.02.14 маркшейдерское дело
технологический профиль	07.03.03 дизайн архитектурной среды	21.02.15 открытые горные работы
технологический профиль	07.03.03 дизайн архитектурной среды	21.02.16 шахтное строительство
технологический профиль	07.03.03 дизайн архитектурной среды	21.02.17 подземная разработка месторождений полезных ископаемых
технологический профиль	07.03.03 дизайн архитектурной среды	21.02.18 обогащение полезных ископаемых
технологический профиль	07.03.03 дизайн архитектурной среды	21.02.19 землеустройство
технологический профиль	07.03.03 дизайн архитектурной среды	21.02.20 прикладная геодезия
технологический профиль	07.03.03 дизайн архитектурной среды	22.02.08 металлургическое производство (по видам производства)
технологический профиль	07.03.03 дизайн архитектурной среды	22.02.09 металлургия черных металлов
технологический профиль	07.03.03 дизайн архитектурной среды	22.02.09 металлургия черных металлов
технологический профиль	07.03.03 дизайн архитектурной среды	22.02.10 металлургия цветных металлов
технологический профиль	07.03.03 дизайн архитектурной среды	22.02.11 обработка металлов в металлургическом производстве
технологический профиль	07.03.03 дизайн архитектурной среды	22.02.12 металлургическое производство
технологический профиль	07.03.03 дизайн архитектурной среды	22.02.08 металлургическое производство (по видам производства)
технологический профиль	07.03.03 дизайн архитектурной среды	23.02.01 организация перевозок и управление на транспорте (по видам)
технологический профиль	07.03.03 дизайн архитектурной среды	23.02.02 автомобиле- и тракторостроение
технологический профиль	07.03.03 дизайн архитектурной среды	23.02.04 техническая эксплуатация подъемно-транспортных, строительных, дорожных машин и оборудования (по отраслям)
технологический профиль	07.03.03 дизайн архитектурной среды	23.02.05 эксплуатация транспортного электрооборудования и автоматики (по видам транспорта, за исключением водного)
технологический профиль	07.03.03 дизайн архитектурной среды	23.02.06 техническая эксплуатация подвижного состава железных дорог
технологический профиль	07.03.03 дизайн архитектурной среды	23.02.07 техническое обслуживание и ремонт автотранспортных средств
технологический профиль	07.03.03 дизайн архитектурной среды	23.02.08 строительство железных дорог, путь и путевое хозяйство
технологический профиль	07.03.03 дизайн архитектурной среды	23.02.09 автоматика и телемеханика на транспорте (железнодорожном транспорте)
технологический профиль	07.03.03 дизайн архитектурной среды	24.02.01 производство летательных аппаратов
технологический профиль	07.03.03 дизайн архитектурной среды	24.02.02 производство авиационных двигателей
технологический профиль	07.03.03 дизайн архитектурной среды	24.02.04 радиотехнические комплексы и системы управления космических летательных аппаратов
технологический профиль	07.03.03 дизайн архитектурной среды	25.02.01 техническая эксплуатация летательных аппаратов и двигателей
технологический профиль	07.03.03 дизайн архитектурной среды	25.02.02 обслуживание летательных аппаратов горюче-смазочными материалами
технологический профиль	07.03.03 дизайн архитектурной среды	25.02.03 техническая эксплуатация электрифицированных и пилотажно-навигационных комплексов
технологический профиль	07.03.03 дизайн архитектурной среды	25.02.04 летная эксплуатация летательных аппаратов
технологический профиль	07.03.03 дизайн архитектурной среды	25.02.05 управление движением воздушного транспорта
технологический профиль	07.03.03 дизайн архитектурной среды	25.02.06 производство и обслуживание авиационной техники
технологический профиль	07.03.03 дизайн архитектурной среды	25.02.07 техническое обслуживание авиационных двигателей
технологический профиль	07.03.03 дизайн архитектурной среды	25.02.08 эксплуатация беспилотных авиационных систем
технологический профиль	07.03.03 дизайн архитектурной среды	25.02.09 организация воздушных перевозок и авиационных работ
технологический профиль	07.03.03 дизайн архитектурной среды	25.02.10 транспортная безопасность воздушного транспорта
технологический профиль	07.03.03 дизайн архитектурной среды	25.02.11 летная эксплуатация беспилотных авиационных систем
технологический профиль	07.03.03 дизайн архитектурной среды	26.02.01 эксплуатация внутренних водных путей
технологический профиль	07.03.03 дизайн архитектурной среды	26.02.02 судостроение
технологический профиль	07.03.03 дизайн архитектурной среды	26.02.03 судовождение
технологический профиль	07.03.03 дизайн архитектурной среды	26.02.04 монтаж и техническое обслуживание судовых машин и механизмов
технологический профиль	07.03.03 дизайн архитектурной среды	26.02.05 эксплуатация судовых энергетических установок
технологический профиль	07.03.03 дизайн архитектурной среды	26.02.06 эксплуатация судового электрооборудования и средств автоматики
технологический профиль	07.03.03 дизайн архитектурной среды	27.02.04 автоматические системы управления
технологический профиль	07.03.03 дизайн архитектурной среды	27.02.06 метрологический контроль средств измерений
технологический профиль	07.03.03 дизайн архитектурной среды	27.02.07 управление качеством продукции, процессов и услуг (по отраслям)
технологический профиль	07.03.03 дизайн архитектурной среды	29.02.05 технология текстильных изделий (по видам)
технологический профиль	07.03.03 дизайн архитектурной среды	29.02.10 конструирование, моделирование и технология изготовления изделий легкой промышленности (по видам)
технологический профиль	07.03.03 дизайн архитектурной среды	29.02.11 полиграфическое производство
технологический профиль	07.03.03 дизайн архитектурной среды	35.02.02 технология лесозаготовок
технологический профиль	07.03.03 дизайн архитектурной среды	35.02.08 электротехнические системы в агропромышленном комплексе (апк)
технологический профиль	08.03.01 строительство	05.02.01 картография
технологический профиль	08.03.01 строительство	05.02.02 гидрология
технологический профиль	08.03.01 строительство	05.02.03 метеорология
технологический профиль	08.03.01 строительство	07.02.01 архитектура
технологический профиль	08.03.01 строительство	08.02.01 строительство и эксплуатация зданий и сооружений
технологический профиль	08.03.01 строительство	08.02.02 строительство и эксплуатация инженерных сооружений
технологический профиль	08.03.01 строительство	08.02.03 производство неметаллических строительных изделий и конструкций
технологический профиль	08.03.01 строительство	08.02.04 водоснабжение и водоотведение
технологический профиль	08.03.01 строительство	08.02.08 монтаж и эксплуатация оборудования и систем газоснабжения
технологический профиль	08.03.01 строительство	08.02.09 монтаж, наладка и эксплуатация электрооборудования промышленных и гражданских зданий
технологический профиль	08.03.01 строительство	08.02.12 строительство и эксплуатация автомобильных дорог, аэродромов и городских путей сообщения
технологический профиль	08.03.01 строительство	08.02.13 монтаж и эксплуатация внутренних сантехнических устройств, кондиционирования воздуха и вентиляции
технологический профиль	08.03.01 строительство	08.02.14 эксплуатация и обслуживание многоквартирного дома
технологический профиль	08.03.01 строительство	08.02.15 информационное моделирование в строительстве
технологический профиль	08.03.01 строительство	09.02.01 компьютерные системы и комплексы
технологический профиль	08.03.01 строительство	09.02.06 сетевое и системное администрирование
технологический профиль	08.03.01 строительство	09.02.07 информационные системы и программирование
технологический профиль	08.03.01 строительство	09.02.08 интеллектуальные интегрированные системы
технологический профиль	08.03.01 строительство	09.02.09 веб-разработка
технологический профиль	08.03.01 строительство	09.02.10 разработка компьютерных игр, дополненной и виртуальной реальности
технологический профиль	08.03.01 строительство	09.02.11 разработка и управление программным обеспечением
технологический профиль	08.03.01 строительство	09.02.12 техническая эксплуатация и сопровождение информационных систем
технологический профиль	08.03.01 строительство	09.02.13 интеграция решений с применением технологий искусственного интеллекта
технологический профиль	08.03.01 строительство	10.02.04 обеспечение информационной безопасности телекоммуникационных систем
технологический профиль	08.03.01 строительство	10.02.05 обеспечение информационной безопасности автоматизированных систем
технологический профиль	08.03.01 строительство	11.02.03 эксплуатация оборудования радиосвязи и электрорадионавигации судов
технологический профиль	08.03.01 строительство	11.02.06 техническая эксплуатация транспортного радиоэлектронного оборудования (по видам транспорта)
технологический профиль	08.03.01 строительство	11.02.07 радиотехнические информационные системы
технологический профиль	08.03.01 строительство	11.02.13 твердотельная электроника
технологический профиль	08.03.01 строительство	11.02.15 инфокоммуникационные сети и системы связи
технологический профиль	08.03.01 строительство	11.02.16 монтаж, техническое обслуживание и ремонт электронных приборов и устройств
технологический профиль	08.03.01 строительство	11.02.17 разработка электронных устройств и систем
технологический профиль	08.03.01 строительство	11.02.18 системы радиосвязи, мобильной связи и телерадиовещания
технологический профиль	08.03.01 строительство	11.02.19 квантовые коммуникации
технологический профиль	08.03.01 строительство	12.02.01 авиационные приборы и комплексы
технологический профиль	08.03.01 строительство	12.02.03 радиоэлектронные приборы и устройства
технологический профиль	08.03.01 строительство	12.02.04 электромеханические приборные устройства
технологический профиль	08.03.01 строительство	12.02.08 протезно-ортопедическая и реабилитационная техника
технологический профиль	08.03.01 строительство	12.02.09 производство и эксплуатация оптических и оптико-электронных приборов и систем
технологический профиль	08.03.01 строительство	12.02.10 монтаж, техническое обслуживание и ремонт биотехнических и медицинских аппаратов и систем
технологический профиль	08.03.01 строительство	13.02.01 тепловые электрические станции
технологический профиль	08.03.01 строительство	13.02.02 теплоснабжение и теплотехническое оборудование
технологический профиль	08.03.01 строительство	13.02.04 гидроэлектроэнергетические установки
технологический профиль	08.03.01 строительство	13.02.05 технология воды, топлива и смазочных материалов на электрических станциях
технологический профиль	08.03.01 строительство	13.02.07 электроснабжение
технологический профиль	08.03.01 строительство	13.02.08 электроизоляционная, кабельная и конденсаторная техника
технологический профиль	08.03.01 строительство	13.02.09 монтаж и эксплуатация линий электропередачи
технологический профиль	08.03.01 строительство	13.02.12 электрические станции, сети, их релейная защита и автоматизация
технологический профиль	08.03.01 строительство	13.02.13 эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям
технологический профиль	08.03.01 строительство	13.02.13 эксплуатация и обслуживание электрического и электромеханического оборудования (по отраслям)
технологический профиль	08.03.01 строительство	14.02.01 атомные электрические станции и установки
технологический профиль	08.03.01 строительство	14.02.02 радиационная безопасность
технологический профиль	08.03.01 строительство	15.02.03 монтаж, техническое обслуживание и ремонт гидравлического и пневматического оборудования (по отраслям)
технологический профиль	08.03.01 строительство	15.02.04 специальные машины и устройства
технологический профиль	08.03.01 строительство	15.02.06 монтаж, техническая эксплуатация и ремонт холодильно-компрессорных и теплонасосных машин и установок (по отраслям)
технологический профиль	08.03.01 строительство	15.02.09 аддитивные технологии
технологический профиль	08.03.01 строительство	15.02.10 мехатроника и робототехника (по отраслям)
технологический профиль	08.03.01 строительство	15.02.16 технология машиностроения
технологический профиль	08.03.01 строительство	15.02.17 монтаж, техническое обслуживание, эксплуатация и ремонт промышленного оборудования (по отраслям)
технологический профиль	08.03.01 строительство	15.02.18 техническая эксплуатация и обслуживание роботизированного производства (по отраслям)
технологический профиль	08.03.01 строительство	15.02.19 сварочное производство
технологический профиль	08.03.01 строительство	20.00.00 техносферная безопасность и природообустройство
технологический профиль	08.03.01 строительство	21.02.01 разработка и эксплуатация нефтяных и газовых месторождений
технологический профиль	08.03.01 строительство	21.02.02 бурение нефтяных и газовых скважин
технологический профиль	08.03.01 строительство	21.02.03 сооружение и эксплуатация газонефтепроводов и газонефтехранилищ
технологический профиль	08.03.01 строительство	21.02.09 гидрогеология и инженерная геология
технологический профиль	08.03.01 строительство	21.02.10 геология и разведка нефтяных и газовых месторождений
технологический профиль	08.03.01 строительство	21.02.11 геофизические методы поисков и разведки месторождений полезных ископаемых
технологический профиль	08.03.01 строительство	21.02.12 технология и техника разведки месторождений полезных ископаемых
технологический профиль	08.03.01 строительство	21.02.13 геологическая съемка, поиски и разведка месторождений полезных ископаемых
технологический профиль	08.03.01 строительство	21.02.14 маркшейдерское дело
технологический профиль	08.03.01 строительство	21.02.15 открытые горные работы
технологический профиль	08.03.01 строительство	21.02.16 шахтное строительство
технологический профиль	08.03.01 строительство	21.02.17 подземная разработка месторождений полезных ископаемых
технологический профиль	08.03.01 строительство	21.02.18 обогащение полезных ископаемых
технологический профиль	08.03.01 строительство	21.02.19 землеустройство
технологический профиль	08.03.01 строительство	21.02.20 прикладная геодезия
технологический профиль	08.03.01 строительство	22.02.08 металлургическое производство (по видам производства)
технологический профиль	08.03.01 строительство	22.02.09 металлургия черных металлов
технологический профиль	08.03.01 строительство	22.02.09 металлургия черных металлов
технологический профиль	08.03.01 строительство	22.02.10 металлургия цветных металлов
