profile	vo_spec	spo_spec
социально-экономический профиль	40.03.01 юриспруденция	38.02.02 страховое дело (по отраслям)
социально-экономический профиль	40.03.01 юриспруденция	38.02.09 конгрессно-выставочная деятельность
социально-экономический профиль	40.03.01 юриспруденция	39.02.01 социальная работа
социально-экономический профиль	40.03.01 юриспруденция	39.02.02 сурдокоммуникация
социально-экономический профиль	40.03.01 юриспруденция	39.02.03обеспечение деятельности службы занятости населения
социально-экономический профиль	40.03.01 юриспруденция	40.02.02 правоохранительная деятельность
социально-экономический профиль	40.03.01 юриспруденция	40.02.04 юриспруденция
социально-экономический профиль	40.03.01 юриспруденция	44.02.06 профессиональное обучение (по отраслям)
социально-экономический профиль	40.03.01 юриспруденция	46.02.01 документационное обеспечение управления и архивоведение
социально-экономический профиль	40.03.01 юриспруденция	46.02.02 обеспечение технологического сопровождения цифровой трансформации документированных сфер деятельности
социально-экономический профиль	42.03.01 реклама и связи с общественностью	38.02.01 экономика и бухгалтерский учет (по отраслям)
социально-экономический профиль	42.03.01 реклама и связи с общественностью	38.02.03 операционная деятельность в логистике
социально-экономический профиль	42.03.01 реклама и связи с общественностью	38.02.06 финансы
социально-экономический профиль	42.03.01 реклама и связи с общественностью	38.02.07 банковское дело
социально-экономический профиль	42.03.01 реклама и связи с общественностью	38.02.08 торговое дело
социально-экономический профиль	42.03.01 реклама и связи с общественностью	38.02.02 страховое дело (по отраслям)
социально-экономический профиль	42.03.01 реклама и связи с общественностью	38.02.09 конгрессно-выставочная деятельность
социально-экономический профиль	42.03.01 реклама и связи с общественностью	39.02.01 социальная работа
социально-экономический профиль	42.03.01 реклама и связи с общественностью	39.02.02 сурдокоммуникация
социально-экономический профиль	42.03.01 реклама и связи с общественностью	39.02.03обеспечение деятельности службы занятости населения
социально-экономический профиль	42.03.01 реклама и связи с общественностью	40.02.02 правоохранительная деятельность
социально-экономический профиль	42.03.01 реклама и связи с общественностью	40.02.04 юриспруденция
социально-экономический профиль	42.03.01 реклама и связи с общественностью	44.02.06 профессиональное обучение (по отраслям)
социально-экономический профиль	42.03.01 реклама и связи с общественностью	46.02.01 документационное обеспечение управления и архивоведение
социально-экономический профиль	42.03.01 реклама и связи с общественностью	46.02.02 обеспечение технологического сопровождения цифровой трансформации документированных сфер деятельности
социально-экономический профиль	46.03.02 документоведение и архивоведение	38.02.01 экономика и бухгалтерский учет (по отраслям)
социально-экономический профиль	46.03.02 документоведение и архивоведение	38.02.03 операционная деятельность в логистике
социально-экономический профиль	46.03.02 документоведение и архивоведение	38.02.06 финансы
социально-экономический профиль	46.03.02 документоведение и архивоведение	38.02.07 банковское дело
социально-экономический профиль	46.03.02 документоведение и архивоведение	38.02.08 торговое дело
социально-экономический профиль	46.03.02 документоведение и архивоведение	38.02.02 страховое дело (по отраслям)
социально-экономический профиль	46.03.02 документоведение и архивоведение	38.02.09 конгрессно-выставочная деятельность
социально-экономический профиль	46.03.02 документоведение и архивоведение	39.02.01 социальная работа
социально-экономический профиль	46.03.02 документоведение и архивоведение	39.02.02 сурдокоммуникация
социально-экономический профиль	46.03.02 документоведение и архивоведение	39.02.03обеспечение деятельности службы занятости населения
социально-экономический профиль	46.03.02 документоведение и архивоведение	40.02.02 правоохранительная деятельность
социально-экономический профиль	46.03.02 документоведение и архивоведение	40.02.04 юриспруденция
социально-экономический профиль	46.03.02 документоведение и архивоведение	44.02.06 профессиональное обучение (по отраслям)
