code,profile_spec_name,required_vi,optional_vi
38.03.04,Государственное и муниципальное управление. Профиль образовательной программы «Государственная и муниципальная служба»,русский язык;обществознание,математика;иностранный язык;история
39.03.01,Социология. Профиль образовательной программы «Социологические и маркетинговые исследования»,русский язык;обществознание,математика;иностранный язык;история;
39.03.02,Социальная работа Профиль образовательной программы «Технологии и практики социального развития и предпринимательства»,русский язык;обществознание,история;литература
40.03.01,Юриспруденция Профиль образовательной программы «Юриспруденция»,русский язык;обществознание,история;информатика;иностранный язык;математика
42.03.01,Реклама и связи с общественностью. Профиль образовательной программы «Коммуникации в цифровой среде»,русский язык;обществознание,история;иностранный язык;литература;информатика
42.03.02,Журналистика. Профиль образовательной программы «Конвергентная журналистика»,русский язык;литература,журналистика
43.03.02,Туризм. Профиль образовательной программы «Управление туристическим бизнесом»,русский язык;обществознание,история;география;иностранный язык
44.03.01,Педагогическое образование. Профиль образовательной программы «Физическая культура»,русский язык;обществознание,физическая культура
44.03.01,Педагогическое образование. Профиль образовательной программы «Начальное образование»,русский язык;обществознание,математика;история;информатика;иностранный язык;литература;биология;география
44.03.01,Педагогическое образование (ФИЛИАЛ). Профиль образовательной программы «Начальное образование»,русский язык;обществознание,математика история;информатика;иностранный язык;литература;биология;география
44.03.01,Педагогическое образование (ФИЛИАЛ). Дошкольное образование,русский язык;обществознание,математика история;информатика;иностранный язык;литература;биология;география
44.03.01,Педагогическое образование. Профиль образовательной программы «Русский язык в полиэтнической образовательной среде»,русский язык;обществознание,литература;история;иностранный язык
44.03.02,Психолого-педагогическое образование. Профиль образовательной программы «Психология и педагогика дошкольного образования»,русский язык;обществознание,математика;биология
44.03.02,Психолого-педагогическое образование. Профиль образовательной программы «Психолого-педагогическое сопровождение личности в непрерывном образовании»,русский язык;обществознание,математика;биология
44.03.02,Психолого-педагогическое образование. Профиль образовательной программы «Психолого-педагогическое консультирование и медиации в образовании»,русский язык;обществознание,математика;биология
44.03.03,Специальное (дефектологическое) образование. Профиль образовательной программы «Дефектология»,русский язык;биология,естественные науки о человеке и ортокоммуникации
44.03.05,Педагогическое образование (с двумя профилями подготовки). Информатика и экономика,русский язык;обществознание,информатика и современные информационные технологии
44.03.05,Педагогическое образование (с двумя профилями подготовки). История и география,русский язык;обществознание,литература;история;география;иностранный язык
44.03.05,Педагогическое образование (с двумя профилями подготовки). Математика и физика,русский язык;математика,физика;информатика;иностранный язык;обществознание;география;химия;история
44.03.05,Педагогическое образование (с двумя профилями подготовки). Химия и биология,русский язык;обществознание,математика;физика;информатика;иностранный язык;биология;география;химия
44.03.05,Педагогическое образование (с двумя профилями подготовки). Дошкольное образование и дополнительное образование,русский язык;обществознание,педагогика и детская психология
44.03.05,Педагогическое образование (с двумя профилями подготовки). История и обществознание,русский язык;обществознание,литература;история;география;иностранный язык
44.03.05,Педагогическое образование (с двумя профилями подготовки). Начальное образование и организация воспитательной работы,русский язык;обществознание,математика;информатика;литература;история;география;биология;иностранный язык
44.03.05,Педагогическое образование (с двумя профилями подготовки). Английский язык и китайский язык,русский язык;обществознание,иностранный язык;история;литература;математика
44.03.05,Педагогическое образование (с двумя профилями подготовки). Немецкий язык и английский язык,русский язык;обществознание,иностранный язык;история;математика;литература
44.03.05,Педагогическое образование (с двумя профилями подготовки). Русский язык и литература,русский язык;обществознание,литература;история;иностранный язык
44.03.05,Педагогическое образование (с двумя профилями подготовки). Технология и цифровое моделирование,русский язык;обществознание,композиция
45.03.01,Филология. Профиль образовательной программы «Медиа и культурные коммуникации»,русский язык;литература,сочинение
45.03.01,Филология. Профиль образовательной программы «Филологическое обеспечение профессиональных коммуникаций»,русский язык;литература,сочинение
46.03.02,Документоведение и архивоведение. Профиль образовательной программы «Документоведение и документационное обеспечение управления»,русский язык;история,обществознание;литература;география;информатика;иностранный язык
49.03.01,Физическая культура. Профиль образовательной программы «Спортивный менеджмент и судейство спортивных соревнований»,русский язык;биология,судейство по видам спорта
54.03.01,Дизайн. Профиль образовательной программы «Графический дизайн»,русский язык;литература,рисунок
54.03.01,Дизайн. Профиль образовательной программы «Дизайн среды»,русский язык;литература,рисунок
10.05.03,Информационная безопасность автоматизированных систем. Профиль образовательной программы «Разработка автоматизированных систем в защищенном исполнении»,русский язык;математика,информатика;физика
21.05.04,Горное дело. Профиль образовательной программы «Маркшейдерское дело»,русский язык;математика,физика;химия;информатика;география
21.05.04,Горное дело. Профиль образовательной программы «Обогащение полезных ископаемых»,русский язык;математика,физика;химия;информатика;география
21.05.04,Горное дело. Профиль образовательной программы «Подземная разработка рудных месторождений»,русский язык;математика,физика;химия;информатика;география
21.05.04,Горное дело. Профиль образовательной программы «Открытые горные работы»,русский язык;математика,физика;химия;информатика;география
21.05.04,Горное дело. Профиль образовательной программы «Горные машины и оборудование»,русский язык;математика,физика;химия;информатика;география
23.05.04,Эксплуатация железных дорог. Профиль образовательной программы «Промышленный транспорт»,русский язык;математика,физика;химия;информатика
37.05.02,Психология служебной деятельности. Профиль образовательной программы «Психология безопасности»,русский язык;биология,математика;обществознание
45.05.01,Перевод и переводоведение. Профиль образовательной программы «Английский язык и китайский язык»,русский язык;иностранный язык,обществознание;история;литература;география;информатика
