code	profile_spec_name	required_vi	optional_vi_ege	optional_vi_vuz
44.03.05	Педагогическое образование (с двумя профилями подготовки). История и география	русский язык;обществознание	литература;история;география;иностранный язык	
44.03.05	Педагогическое образование (с двумя профилями подготовки). Математика и физика	русский язык;математика	физика;информатика;иностранный язык;обществознание;география;химия;история	
44.03.05	Педагогическое образование (с двумя профилями подготовки). Дошкольное образование и дополнительное образование	русский язык;обществознание		педагогика и детская психология
44.03.05	Педагогическое образование (с двумя профилями подготовки). История и обществознание	русский язык;обществознание	литература;история;география;иностранный язык	
44.03.05	Педагогическое образование (с двумя профилями подготовки). Начальное образование и организация воспитательной работы	русский язык;обществознание	математика;информатика;литература;история;география	биология иностранный язык
44.03.05	Педагогическое образование (с двумя профилями подготовки). Английский язык и китайский язык	русский язык;обществознание	иностранный язык;история;литература;математика	
44.03.05	Педагогическое образование (с двумя профилями подготовки). Русский язык и литература	русский язык;обществознание	литература;история;иностранный язык	
44.03.05	Педагогическое образование (с двумя профилями подготовки). Дополнительное образование. ИЗО и декоративно-прикладное искусство	русский язык;обществознание		композиция
45.03.01	Филология. Профиль образовательной программы «Филологическое обеспечение профессиональных коммуникаций»	русский язык;литература		сочинение
46.03.02	Документоведение и архивоведение. Профиль образовательной программы «Документоведение и документационное обеспечение управления»	русский язык;история	обществознание;литература;география;информатика;иностранный язык	
49.03.01	Физическая культура. Профиль образовательной программы «Спортивный менеджмент и судейство спортивных соревнований»	русский язык;биология		судейство по видам спорта
54.03.01	Дизайн. Профиль образовательной программы «Графический дизайн»	русский язык;литература		рисунок
10.05.03	Информационная безопасность автоматизированных систем. Профиль образовательной программы «Разработка автоматизированных систем в защищенном исполнении»	русский язык;математика	информатика;физика	
21.05.04	Горное дело. Профиль образовательной программы «Маркшейдерское дело»	русский язык;математика	физика;химия;информатика;география	
21.05.04	Горное дело. Профиль образовательной программы «Обогащение полезных ископаемых»	русский язык;математика	физика;химия;информатика;география	
21.05.04	Горное дело. Профиль образовательной программы «Подземная разработка рудных месторождений»	русский язык;математика	физика;химия;информатика;география	
21.05.04	Горное дело. Профиль образовательной программы «Открытые горные работы»	русский язык;математика	физика;химия;информатика;география	
21.05.04	Горное дело. Профиль образовательной программы «Горные машины и оборудование»	русский язык;математика	физика;химия;информатика;география	
23.05.04	Эксплуатация железных дорог. Профиль образовательной программы «Промышленный транспорт»	русский язык;математика	физика;химия;информатика	
45.05.01	Перевод и переводоведение. Профиль образовательной программы «Английский язык и немецкий язык»	русский язык;иностранный язык	обществознание;история;литература;география;информатика	
