code	profile_spec_name	required_vi
15.03.01	машиностроение. профиль образовательной программы «оборудование и технология сварочного производства»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
15.03.02	технологические машины и оборудование.  профиль образовательной программы « компьютерное моделирование и проектирование в машиностроении»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
15.03.02	технологические машины и оборудование. профиль образовательной программы «металлургические машины и оборудование»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
15.03.05	конструкторско-технологическое обеспечение машиностроительных производств. профиль образовательной программы «системная инженерия машиностроительных технологий»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
15.03.06	мехатроника и робототехника. профиль образовательной программы «мехатронные системы в автоматизированном производстве»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
18.03.01	химическая технология. профиль образовательной программы «химическая технология природных энергоносителей и углеродных материалов»	русский язык;прикладная химия;прикладная математика
20.03.01	техносферная безопасность. профиль образовательной программы «управление экологической и промышленной безопасностью»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
22.03.01	материаловедение и технологии материалов. профиль образовательной программы «материаловедение и технологии материалов (в машиностроении)»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
22.03.02	металлургия профиль образовательной программы «информационные технологии в современных литейных процессах»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
22.03.02	металлургия профиль образовательной программы «технология литейных процессов»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
22.03.02	металлургия профиль образовательной программы «металлургия черных металлов»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
22.03.02	металлургия профиль образовательной программы «технологии производства и обработки черных металлов и сплавов»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
22.03.02	металлургия профиль образовательной программы «обработка металлов давлением»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
22.03.02	металлургия (филиал). профиль образовательной программы «обработка металлов и сплавов давлением (метизное производство)»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
27.03.01	стандартизация и метрология. профиль образовательной программы «стандартизация, менеджмент и контроль качества»	русский язык;прикладная математика;информационные технологии в профессиональной деятельности
